1|3|1.78742833671961,2.76729907770636,3.05047780993627
2|2|0.102735230852052,2.16284054379424,3.82873946593105
3|2|2.44628126803956,2.34106573809756,1.71589626250546
4|2|0.238090195979469,2.74096567048553,3.2386548938678
5|3|1.20879622349637,1.09388906144333,3.59922957666696
6|2|3.22492071427578,0.790441636172249,2.78405334787125
7|2|-0.252539425656543,1.07301030474777,1.38565169155891
8|3|-0.0220538050641141,3.94834128667008,1.04440272249438
9|2|-0.533635432068488,0.790085627774889,1.7455370073835
10|2|0.33536821355825,3.98117878242791,5.12945191456719
11|2|4.22911148845473,4.94466696525286,5.61592611668605
12|1|3.33770432626604,5.68672920614125,6.41553677983723
13|3|5.49000454315433,4.68852230707872,6.61190140919764
14|2|2.11644012354599,5.4737435032541,5.78609046971262
15|1|4.42871773811881,4.5383882250536,6.99185119889797
16|2|3.80389057758215,4.86666439329142,6.44504977455728
17|3|3.18978522711327,4.7532205471564,4.73188985801967
18|1|3.83136450299787,3.95293736525889,5.86701052859062
19|3|3.19431329288777,3.82914465516686,4.72526853913265
20|1|5.00049267398706,6.13186422903157,6.95836435178011
21|1|6.16650398613649,8.75023332426718,9.48409721679143
22|1|5.93880307369589,8.70540545004826,8.67576026092784
23|2|7.28426242605913,8.71654125256958,8.98513565840686
24|1|8.51748453473459,9.77247268352891,7.61461741145906
25|3|6.70967137981769,7.5329373695677,7.7763612968176
26|1|5.94006549514287,7.11507974530123,8.4372289986935
27|2|7.56142423690148,7.74719676820709,10.9269752950699
28|2|9.44175251322121,6.17316863674803,8.25446666720181
29|1|4.89645545690443,7.35627146276998,8.87165102580015
30|1|4.98912398352644,8.18398884210506,9.86738948350113
